name	description	index	publication
COSMIC 1	Signature 1 is the result of an endogenous mutational process initiated by spontaneous deamination of 5-methylcytosine.	10	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 2	"Signature 2 has been attributed to activity of the AID/APOBEC family of cytidine deaminases. On the basis of similarities in the sequence context of cytosine mutations caused by APOBEC enzymes in experimental systems, a role for APOBEC1, APOBEC3A and/or APOBEC3B in human cancer appears more likely than for other members of the family. "	20	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 3	Signature 3 is associated with failure of DNA double-strand break-repair by homologous recombination. 	30	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 4	"Signature 4 is associated with smoking and its profile is similar to the mutational pattern observed in experimental systems exposed to tobacco carcinogens (e.g., benzo[a]pyrene). Signature 4 is likely due to tobacco mutagens. "	40	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 5	The aetiology of Signature 5 is unknown. 	50	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 6	Signature 6 is associated with defective DNA mismatch repair and is found in microsatellite unstable tumours. 	60	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 7	Based on its prevalence in ultraviolet exposed areas and the similarity of the mutational pattern to that observed in experimental systems exposed to ultraviolet light Signature 7 is likely due to ultraviolet light exposure. 	70	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 8	The aetiology of Signature 8 remains unknown. 	80	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 9	"Signature 9 is characterized by a pattern of mutations that has been attributed to polymerase _, which is implicated with the activity of AID during somatic hypermutation."	90	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 10	"It has been proposed that the mutational process underlying this signature is altered activity of the error-prone polymerase POLE. The presence of large numbers of Signature 10 mutations is associated with recurrent POLE somatic mutations, viz., Pro286Arg and Val411Leu. "	100	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 11	Signature 11 exhibits a mutational pattern resembling that of alkylating agents. Patient histories have revealed an association between treatments with the alkylating agent temozolomide and Signature 11 mutations. 	110	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 12	The aetiology of Signature 12 remains unknown. 	120	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 13	"Signature 13 has been attributed to activity of the AID/APOBEC family of cytidine deaminases converting cytosine to uracil. On the basis of similarities in the sequence context of cytosine mutations caused by APOBEC enzymes in experimental systems, a role for APOBEC1, APOBEC3A and/or APOBEC3B in human cancer appears more likely than for other members of the family. Signature 13 causes predominantly C>G mutations. This may be due to generation of abasic sites after removal of uracil by base excision repair and replication over these abasic sites by REV1. "	130	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 14	The aetiology of Signature 14 remains unknown. 	140	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 15	Signature 15 is associated with defective DNA mismatch repair. 	150	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 16	The aetiology of Signature 16 remains unknown. 	160	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 17	The aetiology of Signature 17 remains unknown. 	170	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 18	The aetiology of Signature 18 remains unknown. 	180	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 19	The aetiology of Signature 19 remains unknown. 	190	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 20	Signature 20 is believed to be associated with defective DNA mismatch repair. 	200	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 21	The aetiology of Signature 21 remains unknown. 	210	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 22	"Signature 22 has been found in cancer samples with known exposures to aristolochic acid. Additionally, the pattern of mutations exhibited by the signature is consistent with the one previous observed in experimental systems exposed to aristolochic acid. "	220	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 23	The aetiology of Signature 23 remains unknown. 	230	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 24	"Signature 24 has been found in cancer samples with known exposures to aflatoxin. Additionally, the pattern of mutations exhibited by the signature is consistent with that previous observed in experimental systems exposed to aflatoxin. "	240	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 25	The aetiology of Signature 25 remains unknown. 	250	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 26	Signature 26 is believed to be associated with defective DNA mismatch repair. 	260	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 27	The aetiology of Signature 27 remains unknown. 	270	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 28	The aetiology of Signature 28 remains unknown. 	280	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 29	Signature 29 has been found in cancer samples from individuals with a tobacco chewing habit. 	290	"Alexandrov L.B. et al., Nature (2013)"
COSMIC 30	The aetiology of Signature 30 remains unknown. 	300	"Alexandrov L.B. et al., Nature (2013)"
5* A	5* (TCGA-130)	52	"Kim et al., Nature Genetics (2016)"
5* B	5* (DFCI-MSK-50)	53	"Kim et al., Nature Genetics (2016)"
5* C	5* (BGI-99 C>T_CpG+)	54	"Kim et al., Nature Genetics (2016)"
5* D	5* (COMB-279)	55	"Kim et al., Nature Genetics (2016)"
5* E	5* (COMB-MI-242)	56	"Kim et al., Nature Genetics (2016)"
5* F	5* (TCGA-130/DFCI-MSK-50)	57	"Kim et al., Nature Genetics (2016)"
SBS1	Deamination of 5-methylcytosine	11	Alexandrov L.B. et al. (2018)
SBS2	APOBEC activity	21	Alexandrov L.B. et al. (2018)
SBS3	Defective HR DNA repair: BRCA1/2 mutation	31	Alexandrov L.B. et al. (2018)
SBS4	Tobacco smoking 	41	Alexandrov L.B. et al. (2018)
SBS5		51	Alexandrov L.B. et al. (2018)
SBS6	Defective DNA mismatch repair 	61	Alexandrov L.B. et al. (2018)
SBS7a	Ultraviolet light exposure 	71	Alexandrov L.B. et al. (2018)
SBS7b	Ultraviolet light exposure 	72	Alexandrov L.B. et al. (2018)
SBS7c	Ultraviolet light exposure 	73	Alexandrov L.B. et al. (2018)
SBS7d	Ultraviolet light exposure 	74	Alexandrov L.B. et al. (2018)
SBS8		81	Alexandrov L.B. et al. (2018)
SBS9	Polymerase _ activity 	91	Alexandrov L.B. et al. (2018)
SBS10a	POLE mutation	101	Alexandrov L.B. et al. (2018)
SBS10b	POLE mutation 	102	Alexandrov L.B. et al. (2018)
SBS11	Temozolomide treatment 	111	Alexandrov L.B. et al. (2018)
SBS12		121	Alexandrov L.B. et al. (2018)
SBS13	APOBEC activity	131	Alexandrov L.B. et al. (2018)
SBS14	Concurrent POLE mutation and mismatch repair deficiency 	141	Alexandrov L.B. et al. (2018)
SBS15	Defective DNA mismatch repair 	151	Alexandrov L.B. et al. (2018)
SBS16		161	Alexandrov L.B. et al. (2018)
SBS17a		171	Alexandrov L.B. et al. (2018)
SBS17b		172	Alexandrov L.B. et al. (2018)
SBS18	Reactive oxygen species 	181	Alexandrov L.B. et al. (2018)
SBS19		191	Alexandrov L.B. et al. (2018)
SBS20	Concurrent POLD1 mutation and mismatch repair deficiency 	201	Alexandrov L.B. et al. (2018)
SBS21	Defective DNA mismatch repair	211	Alexandrov L.B. et al. (2018)
SBS22	Aristolochic acid exposure 	221	Alexandrov L.B. et al. (2018)
SBS23		231	Alexandrov L.B. et al. (2018)
SBS24	Aflatoxin exposure 	241	Alexandrov L.B. et al. (2018)
SBS25	Chemotherapy 	251	Alexandrov L.B. et al. (2018)
SBS26	Defective DNA mismatch repair 	261	Alexandrov L.B. et al. (2018)
SBS27		271	Alexandrov L.B. et al. (2018)
SBS28		281	Alexandrov L.B. et al. (2018)
SBS29	Tobacco chewing	291	Alexandrov L.B. et al. (2018)
SBS30	Defective base excision repair: NTHL1 mutation 	301	Alexandrov L.B. et al. (2018)
SBS31	Platinum treatment	311	Alexandrov L.B. et al. (2018)
SBS32	Azathioprine treatment 	321	Alexandrov L.B. et al. (2018)
SBS33		331	Alexandrov L.B. et al. (2018)
SBS34		341	Alexandrov L.B. et al. (2018)
SBS35	Platinum treatment	351	Alexandrov L.B. et al. (2018)
SBS36	Defective base excision repair: MUTYH mutation 	361	Alexandrov L.B. et al. (2018)
SBS37		371	Alexandrov L.B. et al. (2018)
SBS38	Indirect effect of ultraviolet light 	381	Alexandrov L.B. et al. (2018)
SBS39		391	Alexandrov L.B. et al. (2018)
SBS40		401	Alexandrov L.B. et al. (2018)
SBS41		411	Alexandrov L.B. et al. (2018)
SBS42	Haloalkane exposure 	421	Alexandrov L.B. et al. (2018)
SBS43		431	Alexandrov L.B. et al. (2018)
SBS44	Defective DNA mismatch repair 	441	Alexandrov L.B. et al. (2018)
SBS45		451	Alexandrov L.B. et al. (2018)
SBS46		461	Alexandrov L.B. et al. (2018)
SBS47		471	Alexandrov L.B. et al. (2018)
SBS48		481	Alexandrov L.B. et al. (2018)
SBS49		491	Alexandrov L.B. et al. (2018)
SBS50		501	Alexandrov L.B. et al. (2018)
SBS51		511	Alexandrov L.B. et al. (2018)
SBS52		521	Alexandrov L.B. et al. (2018)
SBS53		531	Alexandrov L.B. et al. (2018)
SBS54		541	Alexandrov L.B. et al. (2018)
SBS55		551	Alexandrov L.B. et al. (2018)
SBS56		561	Alexandrov L.B. et al. (2018)
SBS57		571	Alexandrov L.B. et al. (2018)
SBS58		581	Alexandrov L.B. et al. (2018)
SBS59		591	Alexandrov L.B. et al. (2018)
SBS60		601	Alexandrov L.B. et al. (2018)
